scopus_id,name,affiliation,h_index,document_count,citation_count,orcid,url,last_updated
57210602172,Maha Alamri,Al Baha University,Not available,7,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=57210602172,2025-04-05T09:47:01.663356
57191868176,Waleed Mahmoud ,Faculty of Computers &amp; Informations,Not available,20,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=57191868176,2025-04-05T09:47:12.910148
58842374200,Hassan Alghamdi,Al Baha University,Not available,3,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=58842374200,2025-04-05T09:47:24.247726
57203033268,Mohammed Sirelkhtem Adrees,Al Baha University,Not available,7,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=57203033268,2025-04-05T09:47:35.120151
8973115500,Moez Krichen ,Ltd.,Not available,201,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=8973115500,2025-04-05T09:47:45.629848
55885399100,Yomna Mohammad Ali Ibrahim ,Faculty of Science,Not available,8,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=55885399100,2025-04-05T09:48:13.751366
36719883700,Najib Ben Aoun,Air University Islamabad,Not available,27,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=36719883700,2025-04-05T09:48:24.593783
58887171100,Ahmed Mahmoud Mostafa Youssef,King Saud University,Not available,2,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=58887171100,2025-04-05T09:48:38.261547
57191341075,Nouf Alzahrani,Naif Arab University for Security Sciences,Not available,10,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=57191341075,2025-04-05T09:48:49.108977
57208934253,Bader Abdulrhaman Alghamdi,Griffith University,Not available,5,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=57208934253,2025-04-05T09:48:59.664172
56880280100,BEDINE KERIM,University of Nouakchott (UniversitÇ de Nouakchott),Not available,7,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=56880280100,2025-04-05T09:49:10.515834
57210352986,Abdullah Alshehri,Al Baha University,Not available,22,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=57210352986,2025-04-05T09:49:20.984872
56242611500,Abdulkareem Alzahrani,Al Baha University,Not available,38,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=56242611500,2025-04-05T20:14:45.687716
56609009100,Musaad Alzahrani,Al Baha University,Not available,18,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=56609009100,2025-04-05T20:15:02.942337
57410884000,Abdullah Alghamdi,Faculty of Veterinary Medicine,Not available,15,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=57410884000,2025-04-05T20:15:14.496536
55693562300,Adil Fahad,King Abdulaziz University,Not available,34,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=55693562300,2025-04-05T20:15:27.095120
58131692700,Rahmat Budiarto ,Universitas Padjadjaran,Not available,228,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=58131692700,2025-04-05T20:15:57.520376
57716523500,Sami Alghamdi,Al Baha University,Not available,1,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=57716523500,2025-04-05T20:16:31.915990
6507593446,Ikram Moalla,Laboratoire d'Informatique en Image et Systämes d'Information,Not available,2,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=6507593446,2025-04-05T20:16:44.233382
57202836449,Mohammad Eid Alzahrani,Al Baha University,Not available,13,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=57202836449,2025-04-05T20:16:56.410505
7006451788, Amel Ben Slimane,êcole Nationale SupÇrieure d'IngÇnieurs de Tunis,Not available,9,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=7006451788,2025-04-05T20:17:09.566158
57911941200, Mohammed Al Qurashi,Al Baha University,Not available,3,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=57911941200,2025-04-05T20:17:21.765034
56185295400,Mohammed Alliheedi,King Saud University,Not available,12,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=56185295400,2025-04-05T20:17:34.671261
57197784175,Ahmed Khalaf,New Mexico State University,Not available,10,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=57197784175,2025-04-05T20:18:00.087262
36930096400,Nizar Alsharif,King Salman Center for Disability Research,Not available,22,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=36930096400,2025-04-05T20:18:12.450297
57731538300,Abdullah Alomari,College of Electrical &amp; Mechanical Engineering,Not available,22,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=57731538300,2025-04-05T20:18:25.788008
57194210985,Esam Alzahrani,Department of Electrical and Computer Engineering,Not available,3,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=57194210985,2025-04-05T20:18:38.843573
57203043343,Majzoob K.Omer,Al Baha University,Not available,7,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=57203043343,2025-04-05T20:18:50.869209
57446136600,Hassan Alkhiri,Al Baha University,Not available,7,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=5744613660,2025-04-05T20:19:03.358516
57220804430,Mohammed Yahya Alghamdi,Al Baha University,Not available,14,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=57220804430,2025-04-05T20:19:15.509965
57694884400,Ans D. Alghamdi,Al Baha University,Not available,5,Not available,Not available,https://www.scopus.com/authid/detail.uri?authorId=57694884400,2025-04-05T20:19:30.030562
,31,,,801 all years,,,,
